TABLE,GROUP,index,ECSUNumber,DataYear,EconomicDevelopmentRegion,SchoolClassification,DistrictName,SchoolName,DistrictCountyName,DistrictCountyNumber,districtNumber,districtType,schoolNumber,SchoolLocationCountyName,SchoolLocationCountyNumber,Grade,AMI_Female,AMI_Male,API_Female,API_Male,BLK_Female,BLK_Male,HIS_Female,HIS_Male,TotalMinority,TotalStudents,WHT_Female,WHT_Male,TotalFemale,TotalMale,MinMaxGrade,DemographicCategory,DemographicDescription,DemographicGroup,EndingStatus,EndingStatusOrder,FiveYearCount,FiveYearPercent,FiveYearRateBelowMinimumCellSize,FourYearCount,FourYearPercent,FourYearRateBelowMinimumCellSize,SchoolCountyName,SchoolCountyNumber,SixYearCount,SixYearPercent,SixYearRateBelowMinimumCellSize,DistrictNumber,DistrictType,SchoolNumber,DistrictCouNum,FreeK12,FreePK12,K12Enr,PK12Enr,RedK12,RedPK12,SPEK12,SPEPK12,districtName,schoolName,fiscalYear,districtCountyName,districtCountyNumber,economicDevelopmentRegion,schoolClassification,schoolLocationCountyName,schoolLocationCountyNumber,ALCFlag,dat_yer,dst_num,dst_tye,eco_dev,dst_nam,sch_num,sch_nam,CountyName,Entity,LEPIdentifiedK12,LEPIdentifiedPK12,LEPServedK12,LEPServedPK12,CountyNumber,CAT1,CAT2,CAT3,CAT4,INTER_CNT,INTER_PCT,INTRA_PCT,K12Oct1Cnt,MIDYR_CNT,MIDYR_PCT,PCT_CAT1,PCT_CAT2,PCT_CAT3,PCT_CAT4,LEPK12,LEPPK12,Unnamed:8,Unnamed:1,Unnamed:10,Unnamed:11,Unnamed:2,Unnamed:3,Unnamed:4,Unnamed:5,Unnamed:6,Unnamed:7,Unnamed:9,all_rate,g01_rate,g02_rate,g03_rate,g04_rate,g05_rate,g06_rate,g07_rate,g08_rate,g09_rate,g10_rate,g11_rate,g12_rate,gKG_rate,DistType,DistName,DistNumb,AdminALL,AllOtherTchr,AsstPrinc,AsstSuper,Coord/Supv,Counselors,Director,EcoDevRgn,GenElemEd,Kindgtn,Media/Librarian,OtherAdmin,OtherNonInstruct,PreK/ECFE,Principals,Psychologist,SchCls,SchName,SchNum,SchNurse,SchYear,SocWorker,SpEdProgCoord,SpEdTchr,SpeechLangPath,Superintendent,TchrALL,VocEdTchr,VocFacil/Eval,cou_num,ami_fem,ami_mal,api_fem,api_mal,blk_fem,blk_mal,his_fem,his_mal,tot_fem,tot_mal,tot_mny,tot_tot,wht_fem,wht_mal,grade,NCLBID,ReferenceID,ReferenceIDType,ReferenceName,SecondReferenceID,SecondReferenceName,dst_cou,enr_k12,enr_pk12,fre_k12,fre_pk12,lep_k12,lep_pk12,rpc_k12,rpc_pk12,sch_cou,spe_k12,spe_pk12,Unnamed:12,cou_nam,county,gr_01,gr_02,gr_03,gr_04,gr_05,gr_06,gr_07,gr_08,gr_09,gr_10,gr_11,gr_12,gr_kg,AYPYear,FR,MMR,SchoolType,Unnamed:13,Unnamed:14,Unnamed:15,Unnamed:16,Unnamed:17,Unnamed:18,county_name,free_meal_elg,free_red_meals,lep_srv,red_meal_elg,sch_cls,tot_01_06,tot_07_12,tot_kg_12,Unnamed:24,Unnamed:21,Unnamed:22,Unnamed:23,CountofOpenEnrolled,DAT_YER,DISTRICTNAME,EnrollingDistrict,EnrollingDistrictNumber,EnrollingDistrictType,ResidentDistrict,Unnamed:19,Unnamed:25,Year,residentDistrictNumber,residentDistrictType,schoolname,ADJ_ADM_01,ADJ_ADM_02,ADJ_ADM_03,ADJ_ADM_04,ADJ_ADM_05,ADJ_ADM_06,ADJ_ADM_07,ADJ_ADM_08,ADJ_ADM_09,ADJ_ADM_10,ADJ_ADM_11,ADJ_ADM_12,ADJ_ADM_EC,ADJ_ADM_HK,DST_NAM,DST_NUM,DST_TYE,FREligible,FRPossiblePoints,FRTotalPoints,Filtered,FocusedProficiencyMaxCellCount,FocusedProficiencyPoints,FocusedProficiencyWPCReachingTarget,GapReductionAGRScore,GapReductionPoints,GapReductionUniqueStudentCount,GraduationMaxCellCount,GraduationPoints,GraduationWPCReachingTarget,GrowthPoints,GrowthUniqueStudentCount,GrowthZscoreAverage,MMRDesignation,MMREligible,MMRPossiblePoints,MMRTotalPoints,ProficiencyMaxCellCount,ProficiencyPoints,ProficiencyWPCReachingTarget,Subject,TOTAL,Total_Female,Total_Male,Unnamed:20,Unnamed:26,Unnamed:27,Unnamed:28,Unnamed:29,Unnamed:30,Unnamed:31,Unnamed:32,Unnamed:33,Unnamed:34,Unnamed:35,Unnamed:36,Unnamed:37,Unnamed:38,Unnamed:39,Unnamed:40,Unnamed:41,Unnamed:42,Unnamed:43,ecu_num,grd,ADJ_ADM_KG,CelebrationSchoolStatus,eco_dev_rgn,strata,Demographics-Teachers-bySchool,Difference,FocusedProficiencyPercentile,GapReductionNCE,GapReductionPercentile,GraduationPercentile,GrowthNCE,GrowthPercentile,LowGrad,NumberofStudentsEarningOne-HalfPointNeededtoReachTargetin2014,NumberofStudentsEarningOneFullPointNeededtoReachTargetin2014,ProficiencyIndex,ProficiencyIndexTarget,ProficiencyPercentile,StudentGroup,Title1,countyCode,enrollments,homePrimaryLanguage,languageName,strataName,submissionCode,0,0.1,0,1,1,3,124,13-14,131,137,2006-07HighlyQualifiedTeacherDatabyLastName,2007-2007AdjustedAverageDailyMembershipbyDistrictbyGrade,2007-2008AdjustedAverageDailyMembershipbyDistrictbyGrade,2007-2008FallEnrollmentbyHomePrimaryLanguagebyDistrict,2008-2009AdjustedAverageDailyMembershipbyDistrictbyGrade,2008-2009FallEnrollmentbyHomePrimaryLanguagebyDistrict,2009-10AdjustedAverageDailyMembershipbyDistrictandGrade,2009-2010FallEnrollmentbyHomePrimaryLanguagebyDistrict,2010-2011FallEnrollmentbyHomePrimaryLanguagebyDistrict,2011-2012FallEnrollmentbyHomePrimaryLanguagebyDistrict,2012-2013FallEnrollmentbyHomePrimaryLanguagebyDistrict,79.65,83.44,84.93,91,A,A.1,ADJ_ADM_KG_Full,ADJ_ADM_KG_Half,AITKIN,AITKIN.1,AITKINCOUNTYSCHOOLS,AITKINCOUNTYSCHOOLS.1,AdminAsianFemale,AdminAsianMale,AdminBlackFemale,AdminBlackMale,AdminHispFemale,AdminHispMale,AdminIndianFemale,AdminIndianMale,AdminTtl,AdminWhiteFemale,AdminWhiteMale,AllStudents,CoorSupvOtherTtl,CoordSupvOtherAsianFemale,CoordSupvOtherAsianMale,CoordSupvOtherBlackFemale,CoordSupvOtherBlackMale,CoordSupvOtherHispFemale,CoordSupvOtherHispMale,CoordSupvOtherIndianFemale,CoordSupvOtherIndianMale,CoordSupvOtherWhiteFemale,CoordSupvOtherWhiteMale,CountofStudentGroupsIdentified,Demographics-AdministratorsbySchool,Demographics-OtherLicensedStaffbySchool,DistNum,District,DistrictCount,DistrictPercent,Graduate,N,N.1,N.2,Number,NumberEnrolledinPostsecondaryInstitutionNationally,PercentofGraduatedEnrolledNationally,PercentofGraduatesEnrolledNationally,PercentofGraduatesEnrolledinaMinnesotaInstitution,PercentofGraduatesEnrolledinaMinnesotaInstitutionin1stor2ndFallT,SIGSchool,SchClassif,SchNumb,School,StudentgroupsIdentified,SupportSvcsAsianFemale,SupportSvcsAsianMale,SupportSvcsBlackFemale,SupportSvcsBlackMale,SupportSvcsHispFemale,SupportSvcsHispMale,SupportSvcsIndianFemale,SupportSvcsIndianMale,SupportSvcsTtl,SupportSvcsWhiteFemale,SupportSvcsWhiteMale,TchAvgSalary,TeachrsAsianFemale,TeachrsAsianMale,TeachrsBlackFemale,TeachrsBlackMale,TeachrsHispFemale,TeachrsHispMale,TeachrsHispMale.1,TeachrsIndianFemale,TeachrsIndianMale,TeachrsTtl,TeachrsWhiteFemale,TeachrsWhiteMale,Title12012,TitleI,TotalEnrolledinPostsecondaryInstitutionin1stor2ndFallTerminMinne,TotalEnrolledinPostsecondaryInstitutioninMinnesota,TotalEnrolledinPostsecondaryInstitutionwithinTwoYearsinMinnesota,TotalGraduates,YearofHighSchoolGraduation,d_county,district,dst_county_nam,homprm_lng,k12count,language,sch_dat_yer,stratanum,sub_cde,tot_0106,tot_0712,tot_kg12
200203enrollmentbygenderethnicitybydistrict2003districtallgrades,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200203enrollmentbygenderethnicitybydistrict2003enrolldistrictbyg,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200304enrollmentbygenderethnicitybydistrict2004districtallgrades,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200304enrollmentbygenderethnicitybydistrict2004enrolldistrictbyg,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200405enrollmentbygenderethnicitybydistrict2005districtallgrades,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200405enrollmentbygenderethnicitybydistrict2005enrolldistrictbyg,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200506enrollmentbygenderethnicitybydistrict2006districtallgrades,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200506enrollmentbygenderethnicitybydistrict200enrolldistrictbygr,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200506enrollmentbygenderethnicitycounty,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200506enrollmentbygenderethnicitydistrict,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
